Order_ID,Order_Date,Delivery_Date,Product,Category,Supplier,Region,Quantity,Unit_Price,Total_Cost,Shipping_Cost,Promised_Days,Delivery_Days,Delivery_Status,Customer_Rating
ORD100000,2025-09-28,2025-04-10,Running Shoes,Apparel,Supplier_01,South,1,9.36,9.36,2.85,5,6,Delivered,4.3
ORD100001,2025-04-19,2025-04-22,T-shirt,Apparel,Supplier_08,East,1,44.36,44.36,2.47,4,3,Delivered,4.5
ORD100002,2025-02-13,2025-02-19,Bluetooth Speaker,Electronics,Supplier_05,South,2,168.84,337.68,8.73,7,6,Delivered,3.8
ORD100003,2025-02-11,2025-02-19,Running Shoes,Apparel,Supplier_22,North,1,50.75,50.75,3.6,4,8,Delivered,4.0
ORD100004,2024-09-19,2024-09-25,Office Chair,Home,Supplier_03,North,1,14.38,14.38,2.89,5,6,Delivered,3.0
ORD100005,2024-09-21,2024-09-27,Electric Kettle,Home,Supplier_14,South,5,92.15,460.75,12.13,6,6,Delivered,4.4
ORD100006,2024-07-03,2024-07-16,Phone Case,Accessories,Supplier_01,East,1,3.31,3.31,2.6,4,13,Delivered,3.1
ORD100007,2025-05-03,2025-08-05,Stainless Water Bottle,Home,Supplier_07,West,2,53.54,107.08,3.45,7,6,Delivered,4.0
ORD100008,2025-03-03,2025-03-15,Bluetooth Speaker,Electronics,Supplier_17,West,3,171.14,513.42,11.84,8,12,Delivered,4.0
ORD100009,2024-03-13,2024-03-17,Travel Adapter,Accessories,Supplier_01,North,2,26.39,52.78,3.44,4,4,Delivered,4.0
ORD100010,2024-02-21,2024-02-24,Office Chair,Home,Supplier_07,North,4,134.96,539.84,12.65,5,3,Delivered,3.9
ORD100011,2025-08-23,2025-08-28,Office Chair,Home,Supplier_14,West,3,81.5,244.5,6.43,7,5,Delivered,4.0
ORD100012,2024-03-21,2024-03-27,Bluetooth Speaker,Electronics,Supplier_15,North,2,292.38,584.76,14.6,6,6,Delivered,4.1
ORD100013,2024-11-29,2024-05-12,Electric Kettle,Home,Supplier_09,South,2,58.31,116.62,4.42,6,6,Delivered,3.6
ORD100014,2024-12-21,2024-12-30,Wireless Earbuds,Electronics,Supplier_25,East,1,129.81,129.81,3.7,6,9,Delivered,2.2
ORD100015,2024-11-11,2024-11-17,Yoga Mat,Sports,Supplier_23,West,1,64.92,64.92,3.54,7,6,Delivered,4.3
ORD100016,2024-08-06,2024-08-14,Cookware Set,Home,Supplier_11,West,1,141.67,141.67,4.33,7,8,Delivered,2.8
ORD100017,2025-07-15,2025-07-21,T-shirt,Apparel,Supplier_05,East,2,18.12,36.24,3.68,4,6,Delivered,3.9
ORD100018,2024-06-23,2024-06-30,Coffee Maker,Home,Supplier_25,East,3,66.63,199.89,6.72,5,7,Delivered,3.5
ORD100019,2025-09-18,2025-09-27,Smartwatch,Electronics,Supplier_04,West,3,112.45,337.35,8.46,8,9,Delivered,4.1
ORD100020,2025-10-28,2025-10-31,Stainless Water Bottle,Home,Supplier_13,South,2,85.96,171.92,5.21,6,3,Delivered,4.2
ORD100021,2024-06-16,2024-06-20,Running Shoes,Apparel,Supplier_12,East,2,53.38,106.76,4.31,4,4,Delivered,4.2
ORD100022,2024-06-03,2024-06-15,Desk Lamp,Home,Supplier_20,West,1,149.24,149.24,4.66,7,12,Delivered,3.4
ORD100023,2025-08-14,2025-08-20,T-shirt,Apparel,Supplier_26,South,1,27.93,27.93,1.54,5,6,Delivered,2.2
ORD100024,2024-11-21,2024-11-23,Phone Case,Accessories,Supplier_24,South,1,14.91,14.91,2.48,5,2,Delivered,3.2
ORD100025,2024-06-19,2024-06-23,Fitness Tracker,Electronics,Supplier_18,South,1,221.41,221.41,6.31,7,4,Delivered,3.5
ORD100026,2024-10-08,2024-10-23,Running Shoes,Apparel,Supplier_30,South,4,71.75,287.0,7.08,5,15,Delivered,2.5
ORD100027,2024-03-03,2024-09-03,Gaming Mouse,Electronics,Supplier_03,South,1,189.52,189.52,4.37,7,6,Delivered,4.2
ORD100028,2025-07-05,2025-08-07,Office Chair,Home,Supplier_10,North,2,21.95,43.9,1.51,5,33,Delivered,4.0
ORD100029,2024-12-28,2025-03-01,Travel Adapter,Accessories,Supplier_29,East,2,18.44,36.88,2.34,4,6,Delivered,3.9
