Order_ID,Order_Date,Delivery_Date,Product,Category,Supplier,Region,Quantity,Unit_Price,Total_Cost,Shipping_Cost,Promised_Days,Delivery_Days,Delivery_Status,Customer_Rating
ORD100000,28-09-2025,04-10-2025,Running Shoes,Apparel,Supplier_01,South,1,9.36,9.36,2.85,5,6,Delayed,4.3
ORD100001,19-04-2025,22-04-2025,T-shirt,Apparel,Supplier_08,East,1,44.36,44.36,2.47,4,3,On Time,4.5
ORD100002,13-02-2025,19-02-2025,Bluetooth Speaker,Electronics,Supplier_05,South,2,168.84,337.68,8.73,7,6,On Time,3.8
ORD100003,11-02-2025,19-02-2025,Running Shoes,Apparel,Supplier_22,North,1,50.75,50.75,3.6,4,8,Delayed,4
ORD100004,19-09-2024,25-09-2024,Office Chair,Home,Supplier_03,North,1,14.38,14.38,2.89,5,6,Delayed,3
ORD100005,21-09-2024,27-09-2024,Electric Kettle,Home,Supplier_14,South,5,92.15,460.75,12.13,6,6,On Time,4.4
ORD100006,03-07-2024,16-07-2024,Phone Case,Accessories,Supplier_01,East,1,3.31,3.31,2.6,4,13,Delayed,3.1
ORD100007,03-05-2025,08-05-2025,Stainless Water Bottle,Home,Supplier_07,West,2,53.54,107.08,3.45,7,5,On Time,4
ORD100008,03-03-2025,15-03-2025,Bluetooth Speaker,Electronics,Supplier_17,West,3,171.14,513.42,11.84,8,12,Delayed,4
ORD100009,13-03-2024,17-03-2024,Travel Adapter,Accessories,Supplier_01,North,2,26.39,52.78,3.44,4,4,On Time,4
ORD100010,21-02-2024,24-02-2024,Office Chair,Home,Supplier_07,North,4,134.96,539.84,12.65,5,3,On Time,3.9
ORD100011,23-08-2025,28-08-2025,Office Chair,Home,Supplier_14,West,3,81.5,244.5,6.43,7,5,On Time,4
ORD100012,21-03-2024,27-03-2024,Bluetooth Speaker,Electronics,Supplier_15,North,2,292.38,584.76,14.6,6,6,On Time,4.1
ORD100013,29-11-2024,05-12-2024,Electric Kettle,Home,Supplier_09,South,2,58.31,116.62,4.42,6,6,On Time,3.6
ORD100014,21-12-2024,30-12-2024,Wireless Earbuds,Electronics,Supplier_25,East,1,129.81,129.81,3.7,6,9,Delayed,2.2
ORD100015,11-11-2024,17-11-2024,Yoga Mat,Sports,Supplier_23,West,1,64.92,64.92,3.54,7,6,On Time,4.3
ORD100016,06-08-2024,14-08-2024,Cookware Set,Home,Supplier_11,West,1,141.67,141.67,4.33,7,8,Delayed,2.8
ORD100017,15-07-2025,21-07-2025,T-shirt,Apparel,Supplier_05,East,2,18.12,36.24,3.68,4,6,Delayed,3.9
ORD100018,23-06-2024,30-06-2024,Coffee Maker,Home,Supplier_25,East,3,66.63,199.89,6.72,5,7,Delayed,3.5
